loss,delay,fast_recovery,md5_hash,ttc
3.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.03909969329834
3.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.9702301025390625
3.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.6808934211730957
3.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.686011791229248
3.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,8.172767162322998
4.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5769131183624268
4.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.6244609355926514
4.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,3.132861852645874
4.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.7080421447753906
4.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5944292545318604
4.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,4.443238258361816
4.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.176121473312378
4.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.1968369483947754
4.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,11.972161054611206
4.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.6088647842407227
4.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,5.202901124954224
4.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.9222936630249023
4.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.580958366394043
4.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5856902599334717
4.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.686866044998169
4.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,13.767670631408691
4.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.565972089767456
4.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.8719520568847656
4.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.8357179164886475
4.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.723191499710083
5.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.77386736869812
5.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.8966526985168457
5.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.7539994716644287
5.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,3.3282406330108643
5.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,3.171969413757324
5.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,5.666850566864014
5.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.1950836181640625
5.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,4.791671514511108
